,Unnamed: 0,star_name,distance,mass,radius
0,0,Pegasus,25°54′18″,46.1,T4.5
1,1,Tucana,−64°10′35.8″,192.0,L1γ
2,2,Phoenix,−40°44′5.8″,,L5
3,3,Pisces,−1°58′20.1″,37.7,M9.5
4,4,Cassiopeia,47°59′19.1″,143.0,L4
5,5,Pisces,5°3′41.7″,236.0,M9.5β
6,6,Andromeda,22°19′32.8″,46.9,M8
7,7,Cetus,−14°50′33.3″,87.2,L7
8,8,Cetus,−15°21′″,131.0,L1-L4β
9,9,Pisces,5°23′5″,31.0,T6.5
10,10,Pisces,18°21′10.4″,28.6,L3.5
11,11,Pisces,16°34′44.6″,57.0,L2β
12,12,Cassiopeia,68°3′54.3″,40.0,L7.5p
13,13,Sculptor,−33°22′40.2″,34.0,T7
14,14,Sculptor,−28°22′42″,,M7.5
15,15,Cetus,−6°51′23.9″,96.0,L0β
16,16,Cetus,−1°14′1.3″,30.0,T8.5
17,17,Pisces,19°′35″,70.0,L6β
18,18,Cetus,−0°41′56.3″,51.0,L8
19,19,Sculptor,−34°3′25.8″,163.0,L2:
20,20,Phoenix,−46°33′57.4″,130.0,L0γ
21,21,,12°44′30″,70.0,T1
22,22,Cetus,−11°59′29.67″,65.0,L5.5
23,23,Cetus,−11°59′29.67″,65.0,L8
24,24,Cetus,−11°59′29.67″,65.0,T0
25,25,Cetus,−0°0′56.4″,111.0,T4.5
26,26,,−30°15′31.3″,101.0,L0γ
27,27,,−64°42′6.8″,155.0,L0γ
28,28,Cetus,−3°26′58.7″,152.0,L0γ
29,29,Fornax,−24°53′29.8″,35.0,T6
30,30,,−16°51′21.6″,53.0,M8
31,31,,−0°47′36.4″,,M8
32,32,Aries,+16°52′53.2″,12.578,M7
33,33,,32°6′37.3″,184.0,M7β
34,34,Cetus,2°23′59.1″,24.0,T8
35,35,Eridanus,−47°0′50.9″,16.2,L8
36,36,Fornax,−34°21′29.2″,45.0,L7
37,37,,18°54′23.3″,47.0,M8
38,38,,−46°31′23.7″,192.0,L0γ
39,39,,4°25′40.6″,59.0,T5.5
40,40,Eridanus,−21°2′5.7″,80.0,L5γ
41,41,Taurus,23°2′5.1″,98.0,L8
42,42,,−49°53′32.2″,27.0,M9
43,43,Fornax,−35°25′44″,20.9,M9β
44,44,,25°40′23.3″,88.0,L0
45,45,Taurus,+24°22′31″,380.0,M8
46,46,,−0°52′45.2″,48.0,M8
47,47,Taurus,11°33′43.7″,29.8,L5γ
48,48,Horologium,−44°17′30.5″,130.0,L0β
49,49,Eridanus,−9°35′6.6″,18.6,T8
50,50,Eridanus,−4°14′3.5″,50.0,L7.5
51,51,Eridanus,−22°53′22.7″,85.0,L0.5
52,52,,−16°6′57.5″,34.0,M7
53,53,,−41°14′46.5″,142.0,M8βγ
54,54,Eridanus,−23°53′8.3″,29.5,L6.5
55,55,,23°1′58.07″,470.0,M8.5
56,56,,−0°2′5.1″,82.0,M9γ
57,57,Caelum,−30°48′20.4″,42.0,L2
58,58,Caelum,−34°2′15″,69.0,L0.5
59,59,Orion,3°30′50.1″,44.0,L4
60,60,Orion,−0°10′45.2″,64.0,L4γ
61,61,Orion,−4°45′49.9″,73.0,T5.5
62,62,Lepus,−14°3′2.2″,40.0,L2.5
63,63,Camelopardalis,82°46′46.5″,81.0,L7
64,64,,−0°59′1.9″,41.62,L5
65,65,Lepus,−14°4′48.8″,34.0,T4.5
66,66,Auriga,39°10′59.2″,34.6,L1β
67,67,,−27°53′58.3″,102.0,M8.5γ
68,68,,−4°10′24″,69.0,L9
